# Trimmed version of Nmax = 7
# This was made from genremap.cpp as part of the BoxRemap
# code from Carlson & White: 
# http://mwhite.berkeley.edu/BoxRemap/
# L1 L2 L3   u11 u12 u13   u21 u22 u23   u31 u32 u33   (periodicity)
6.7823 0.3297 0.4472   6 1 3   2 0 1   1 0 0   (1)
6.7823 0.4663 0.3162   6 3 1   1 0 0   0 1 0   (1)
6.7823 0.4890 0.3015   6 3 1   1 1 0   0 1 0   (1)
7.0000 0.3194 0.4472   6 3 2   2 1 1   1 0 0   (1)
7.0000 0.4518 0.3162   6 3 2   3 1 1   1 0 0   (1)
7.0000 0.5151 0.2774   6 2 3   1 0 0   0 1 1   (1)
7.0000 0.5890 0.2425   6 3 2   1 1 0   1 0 1   (1)
7.0711 0.3464 0.4082   5 4 3   1 1 1   1 0 0   (1)
7.0711 0.4243 0.3333   5 4 3   2 2 1   0 1 0   (1)
7.0711 0.4690 0.3015   5 4 3   2 1 1   1 0 0   (1)
7.2801 0.3365 0.4082   6 4 1   1 1 0   0 1 0   (1)
7.2801 0.4121 0.3333   6 1 4   2 0 1   1 0 0   (1)
7.2801 0.4953 0.2774   6 4 1   3 2 0   1 1 0   (1)
7.2801 0.5664 0.2425   6 4 1   1 0 0   0 1 0   (1)
7.3485 0.3043 0.4472   7 2 1   1 0 0   0 1 0   (1)
7.3485 0.4513 0.3015   7 2 1   3 1 0   0 0 1   (1)
7.3485 0.5092 0.2673   7 1 2   2 0 1   1 0 0   (1)
7.6811 0.3189 0.4082   7 3 1   2 1 0   0 0 1   (1)
7.6811 0.4117 0.3162   7 3 1   1 0 0   0 1 0   (1)
7.6811 0.4871 0.2673   7 1 3   3 0 1   1 0 0   (1)
7.8102 0.2863 0.4472   6 4 3   2 1 1   1 0 0   (1)
7.8102 0.4616 0.2774   6 4 3   3 2 1   1 1 0   (1)
7.8102 0.4791 0.2673   6 4 3   1 1 1   1 0 0   (1)
7.8740 0.3111 0.4082   7 3 2   3 1 1   1 0 0   (1)
7.8740 0.4212 0.3015   7 3 2   2 1 1   1 0 0   (1)
7.8740 0.4579 0.2774   7 2 3   1 0 0   0 1 1   (1)
8.0623 0.3721 0.3333   6 5 2   1 1 0   0 0 1   (1)
8.0623 0.3922 0.3162   6 5 2   3 2 1   1 0 0   (1)
8.1240 0.4082 0.3015   7 4 1   1 1 0   0 1 0   (1)
8.1240 0.5075 0.2425   7 4 1   1 0 0   0 1 0   (1)
8.3066 0.2692 0.4472   7 2 4   3 1 2   0 0 1   (1)
8.3066 0.4504 0.2673   7 2 4   2 1 1   0 1 0   (1)
8.3066 0.4964 0.2425   7 4 2   1 1 0   1 0 1   (1)
8.3666 0.4472 0.2673   6 5 3   1 1 1   0 0 1   (1)
8.6603 0.2828 0.4082   7 5 1   1 1 0   0 1 0   (1)
8.6603 0.4320 0.2673   7 1 5   2 0 1   1 0 0   (1)
8.7750 0.2791 0.4082   6 5 4   1 1 1   1 0 0   (1)
8.7750 0.4109 0.2774   6 4 5   3 2 2   1 1 0   (1)
8.7750 0.4699 0.2425   6 4 5   2 1 2   1 1 0   (1)
9.1104 0.2689 0.4082   7 3 5   3 1 2   1 0 0   (1)
9.1104 0.4107 0.2673   7 3 5   2 1 1   0 0 1   (1)
9.4340 0.3180 0.3333   7 6 2   1 1 0   0 0 1   (1)
9.4340 0.3352 0.3162   7 2 6   3 1 3   0 0 1   (1)
9.4340 0.4370 0.2425   7 2 6   2 1 2   1 0 1   (1)
9.4868 0.3162 0.3333   7 4 5   3 2 2   0 1 0   (1)
9.4868 0.3496 0.3015   7 5 4   2 1 1   1 0 0   (1)
9.4868 0.3944 0.2673   7 5 4   1 1 1   1 0 0   (1)
10.0499 0.2985 0.3333   7 6 4   2 2 1   0 1 0   (1)
10.0499 0.3588 0.2774   7 6 4   3 3 2   0 1 1   (1)
10.0499 0.3723 0.2673   7 6 4   1 1 1   0 0 1   (1)
